Player,Team,Comb,Asst,Solo,Sck
Chazz Surratt,New York Jets,14,4,9,0.0
Ja'Sir Taylor,Los Angeles Chargers,14,4,8,0.0
Nate Wiggins,Baltimore Ravens,14,5,8,0.0
Darious Williams,Los Angeles Rams,14,2,9,0.0
Andrew Billings,Chicago Bears,13,4,6,1.0
Taven Bryan,Indianapolis Colts,13,4,6,1.0
K'Lavon Chaisson,Las Vegas Raiders,13,5,6,1.0
Jamin Davis,Green Bay Packers,13,5,8,0.0
Sheldon Day,Washington Commanders,13,5,6,0.0
Tyrek Funderburk,Tampa Bay Buccaneers,13,4,9,0.0
Dane Jackson,Carolina Panthers,13,3,10,0.0
DaQuan Jones,Buffalo Bills,13,5,7,2.0
Cameron Jordan,New Orleans Saints,13,7,6,1.0
Brandon Joseph,Detroit Lions,13,2,11,0.0
Tyler Lacy,Jacksonville Jaguars,13,8,5,0.0
Ogbo Okoronkwo,Cleveland Browns,13,3,5,2.0
D'Angelo Ross,Houston Texans,13,3,10,0.0
Asante Samuel Jr.,Los Angeles Chargers,13,2,11,0.0
Payton Turner,New Orleans Saints,13,5,7,2.0
Marco Wilson,New England Patriots,13,5,8,0.0
Ja'Whaun Bentley,New England Patriots,12,5,6,0.5
Thomas Booker,Philadelphia Eagles,12,6,5,0.5
Karl Brooks,Green Bay Packers,12,6,5,1.5
Jordan Davis,Philadelphia Eagles,12,5,6,1.0
Bud Dupree,Los Angeles Chargers,12,3,9,3.0
Brandon Graham,Philadelphia Eagles,12,3,7,1.0
Ta'Quon Graham,Atlanta Falcons,12,6,4,0.0
Jordan Jackson,Denver Broncos,12,10,2,0.0
Alim McNeill,Detroit Lions,12,4,7,2.5
Dawuane Smoot,Buffalo Bills,12,4,7,1.5
Kayvon Thibodeaux,New York Giants,12,4,4,2.0
Brent Urban,Baltimore Ravens,12,5,6,0.0
Tyrus Wheat,Dallas Cowboys,12,7,4,0.5
Tre'Davious White,Los Angeles Rams,12,3,9,0.0
Devonte Wyatt,Green Bay Packers,12,3,7,3.0
Derek Barnett,Houston Texans,11,5,6,2.0
D'Anthony Bell,Cleveland Browns,11,5,5,0.0
Chris Braswell,Tampa Bay Buccaneers,11,6,5,0.5
C.J. Brewer,Tampa Bay Buccaneers,11,5,6,2.0
Tyler Davis,Green Bay Packers,11,7,2,0.5
Storm Duck,Miami Dolphins,11,3,7,0.0
Isaiah Foskey,New Orleans Saints,11,8,2,0.0
Kamu Grugier-Hill,Minnesota Vikings,11,4,6,0.0
Zach Harrison,Atlanta Falcons,11,9,1,0.0
Ja'Marcus Ingram,Buffalo Bills,11,2,8,1.0
Linval Joseph,Dallas Cowboys,11,5,6,1.0
Chris Lammons,Indianapolis Colts,11,2,5,1.0
Darius Muasau,New York Giants,11,4,7,0.0
Myles Murphy,Cincinnati Bengals,11,4,6,0.0
Trevor Nowaske,Detroit Lions,11,4,6,2.0
Mike Pennel,Kansas City Chiefs,11,6,5,2.0
Jalen Reeves-Maybin,Detroit Lions,11,4,6,0.0
Chop Robinson,Miami Dolphins,11,5,4,1.0
Isaiah Simmons,New York Giants,11,4,6,0.0
Teair Tart,Los Angeles Chargers,11,7,4,0.0
Leonard Taylor III,New York Jets,11,6,4,1.5
Casey Toohill,Buffalo Bills,11,4,5,1.0
Chris Williams,Chicago Bears,11,1,8,2.0
Dee Winters,San Francisco 49ers,11,5,6,0.0
Derrick Barnes,Detroit Lions,10,2,4,0.0
Robert Beal Jr.,San Francisco 49ers,10,3,5,0.0
JD Bertrand,Atlanta Falcons,10,3,5,0.0
Raekwon Davis,Indianapolis Colts,10,5,5,0.0
Troy Dye,Los Angeles Chargers,10,2,7,0.5
Tommy Eichenberg,Las Vegas Raiders,10,3,6,0.0
AJ Finley,Los Angeles Chargers,10,4,6,0.0
Demetrius Flannigan-Fowles,San Francisco 49ers,10,4,3,0.0
William Gholston,Tampa Bay Buccaneers,10,6,4,1.0
Kevin Givens,San Francisco 49ers,10,5,4,3.5
Austin Johnson,Buffalo Bills,10,5,4,0.0
Damontae Kazee,Pittsburgh Steelers,10,2,8,0.0
Marshawn Kneeland,Dallas Cowboys,10,3,6,0.0
Jesse Luketa,Arizona Cardinals,10,3,6,1.0
Jeremy McNichols,Washington Commanders,10,5,3,0.0
Bilal Nichols,Arizona Cardinals,10,4,4,0.0
Jeremy Reaves,Washington Commanders,10,6,4,0.0
Isaiah Rodgers,Philadelphia Eagles,10,4,5,0.0
Christian Roland-Wallace,Kansas City Chiefs,10,2,8,0.0
Jay Tufele,Cincinnati Bengals,10,6,3,0.5
Broderick Washington,Baltimore Ravens,10,7,3,0.0
Kristian Welch,Baltimore Ravens,10,5,2,0.0
Milton Williams,Philadelphia Eagles,10,5,3,2.0
Tyree Wilson,Las Vegas Raiders,10,4,4,1.0
Ahkello Witherspoon,Los Angeles Rams,10,2,7,0.0
Joey Bosa,Los Angeles Chargers,9,2,7,2.0
DeWayne Carter,Buffalo Bills,9,1,7,0.0
Zachary Carter,Cincinnati Bengals,9,5,2,0.5
Khalil Davis,San Francisco 49ers,9,3,4,1.0
Kaiir Elam,Buffalo Bills,9,2,7,0.0
Jordan Elliott,San Francisco 49ers,9,1,8,0.0
Dallis Flowers,Tampa Bay Buccaneers,9,0,8,0.0
Luke Gifford,Tennessee Titans,9,3,4,0.0
Jalyn Holmes,Washington Commanders,9,4,4,1.0
Maurice Hurst,Cleveland Browns,9,3,3,0.5
Shemar Jean-Charles,New Orleans Saints,9,5,4,0.0
Benito Jones,Miami Dolphins,9,8,1,0.0
Carl Lawson,Dallas Cowboys,9,5,3,2.5
DeAngelo Malone,Atlanta Falcons,9,3,6,0.0
Jacob Martin,Chicago Bears,9,3,5,2.0
Takk McKinley,New York Jets,9,5,2,0.5
Cameron Mitchell,Cleveland Browns,9,2,6,0.0
Amen Ogbongbemiga,Chicago Bears,9,4,5,1.0
Joshua Paschal,Detroit Lions,9,1,7,1.0
James Pierre,Pittsburgh Steelers,9,1,6,0.0
D.J. Reader,Detroit Lions,9,4,5,1.0
John Ridgeway,New Orleans Saints,9,5,2,0.0
Brady Russell,Seattle Seahawks,9,3,6,0.0
Drake Thomas,Seattle Seahawks,9,7,1,0.0
Montravius Adams,Pittsburgh Steelers,8,3,3,1.0
Kwon Alexander,Denver Broncos,8,5,1,0.0
Tycen Anderson,Cincinnati Bengals,8,1,7,0.0
Quinton Bell,Miami Dolphins,8,5,3,0.0
Josh Blackwell,Chicago Bears,8,1,7,0.0
Chris Board,Baltimore Ravens,8,2,5,0.0
Matthew Butler,Las Vegas Raiders,8,4,2,0.0
Elijah Chatman,New York Giants,8,3,5,1.0
Feleipe Franks,Carolina Panthers,8,3,5,0.0
Cam Gill,Carolina Panthers,8,7,1,0.0
Adam Gotsis,Indianapolis Colts,8,4,4,0.0
Richie Grant,Atlanta Falcons,8,1,7,0.0
Nick Herbig,Pittsburgh Steelers,8,2,6,2.5
Malik Herring,Kansas City Chiefs,8,3,3,0.0
Jaden Hicks,Kansas City Chiefs,8,0,7,0.0
Talanoa Hufanga,San Francisco 49ers,8,3,3,0.0
Bryce Huff,Philadelphia Eagles,8,5,3,1.5
John Johnson,Los Angeles Rams,8,4,3,0.0
Jonah Laulu,Las Vegas Raiders,8,7,1,0.0
Tristin McCollum,Philadelphia Eagles,8,4,3,0.0
Segun Olubi,Indianapolis Colts,8,4,3,0.0
Jon Rhattigan,Carolina Panthers,8,4,3,0.0
Brenden Schooler,New England Patriots,8,1,7,1.0
Nesta Jade Silvera,San Francisco 49ers,8,6,1,0.0
Cam Smith,Miami Dolphins,8,0,7,0.0
Dallas Turner,Minnesota Vikings,8,4,3,1.0
Joshua Williams,Kansas City Chiefs,8,2,6,0.0
Colby Wooden,Green Bay Packers,8,6,2,0.0
Alex Wright,Cleveland Browns,8,3,4,1.0
Adetomiwa Adebawore,Indianapolis Colts,7,2,4,1.0
Evan Anderson,San Francisco 49ers,7,5,2,1.0
Jalyn Armour-Davis,Baltimore Ravens,7,2,4,0.0
Tyus Bowser,Seattle Seahawks,7,3,4,0.0
Julius Brents,Indianapolis Colts,7,4,2,0.0
Baron Browning,Arizona Cardinals,7,6,0,0.0
Byron Cowart,Chicago Bears,7,3,3,0.5
Victor Dimukeje,Arizona Cardinals,7,4,3,0.0
Khalil Dorsey,Detroit Lions,7,4,3,0.0
Terrell Edmunds,Jacksonville Jaguars,7,2,5,0.0
Emmanuel Forbes,Washington Commanders,7,5,2,0.0
Tomon Fox,New York Giants,7,3,3,1.0
Greg Gaines,Tampa Bay Buccaneers,7,4,1,1.0
Javon Hargrave,San Francisco 49ers,7,3,4,1.0
Jaylen Harrell,Tennessee Titans,7,4,3,0.0
KhaDarel Hodge,Atlanta Falcons,7,3,3,0.0
Adoree' Jackson,New York Giants,7,1,6,0.0
Jordan Jefferson,Jacksonville Jaguars,7,4,3,1.0
Quinton Jefferson,Buffalo Bills,7,5,2,2.0
Sanoussi Kane,Baltimore Ravens,7,4,3,0.0
Isaiahh Loudermilk,Pittsburgh Steelers,7,1,4,0.0
Hunter Luepke,Dallas Cowboys,7,5,2,0.0
James Lynch,Tennessee Titans,7,6,1,0.0
Ben Niemann,Detroit Lions,7,4,3,0.0
Nick Niemann,Los Angeles Chargers,7,3,4,0.0
Maema Njongmeta,Cincinnati Bengals,7,3,3,0.0
Julian Okwara,Arizona Cardinals,7,5,2,0.0
Omar Speights,Los Angeles Rams,7,3,4,0.0
Dadrion Taylor-Demerson,Arizona Cardinals,7,2,4,0.0
Juanyeh Thomas,Dallas Cowboys,7,1,6,0.0
Rodney Thomas,Indianapolis Colts,7,2,5,0.0
Dondrea Tillman,Denver Broncos,7,2,3,2.0
Eyioma Uwazurike,Denver Broncos,7,6,1,0.0
DeShawn Williams,Carolina Panthers,7,4,2,0.0
Chandler Wooten,Carolina Panthers,7,3,4,0.0
Zayne Anderson,Green Bay Packers,6,0,6,0.0
Andrew Booth,Dallas Cowboys,6,1,5,0.0
Elijah Campbell,Miami Dolphins,6,1,3,0.0
Kei'Trel Clark,Arizona Cardinals,6,2,2,1.0
Sam Eguavoen,New York Jets,6,1,5,0.0
Eddie Goldman,Atlanta Falcons,6,2,3,0.0
Antonio Hamilton,Atlanta Falcons,6,2,4,0.0
Daniel Hardy,Chicago Bears,6,1,4,0.0
Thomas Harper,Las Vegas Raiders,6,1,4,0.0
Connor Heyward,Pittsburgh Steelers,6,2,4,0.0
Darnay Holmes,Las Vegas Raiders,6,4,2,0.0
Khaleke Hudson,New Orleans Saints,6,2,3,0.0
Thomas Incoom,Carolina Panthers,6,0,5,0.0
Von Miller,Buffalo Bills,6,1,5,3.0
Siran Neal,Miami Dolphins,6,2,3,0.0
Tyler Owens,Washington Commanders,6,3,1,0.0
Jayden Peevy,Carolina Panthers,6,4,2,1.5
Jaelan Phillips,Miami Dolphins,6,4,2,1.0
Nehemiah Pritchett,Seattle Seahawks,6,2,4,0.0
Ennis Rakestraw Jr.,Detroit Lions,6,2,4,0.0
Duke Riley,Miami Dolphins,6,3,3,0.0
Kelee Ringo,Philadelphia Eagles,6,2,4,0.0
Keidron Smith,Denver Broncos,6,2,3,0.0
Ty Summers,New York Giants,6,2,2,0.0
Tavierre Thomas,Tampa Bay Buccaneers,6,2,3,0.0
Carrington Valentine,Green Bay Packers,6,5,1,0.0
Nick Vigil,Dallas Cowboys,6,3,2,0.0
Nathaniel Watson,Cleveland Browns,6,2,3,0.0
Eric Watts,New York Jets,6,4,2,0.0
Cedrick Wilson Jr.,New Orleans Saints,6,4,2,0.0
D.J. Wonnum,Carolina Panthers,6,2,3,1.0
Tyler Allgeier,Atlanta Falcons,5,1,4,0.0
Eli Ankou,Buffalo Bills,5,4,0,0.0
Markquese Bell,Dallas Cowboys,5,0,5,0.0
Christian Braswell,Jacksonville Jaguars,5,4,1,0.0
Tony Brown,Cleveland Browns,5,3,2,0.0
Myles Bryant,Houston Texans,5,1,4,0.0
Michael Burton,Denver Broncos,5,4,0,0.0
Irvin Charles,New York Jets,5,2,3,0.0
Michael Davis,Washington Commanders,5,5,0,0.0
Caleb Farley,Carolina Panthers,5,1,3,0.0
Mike Ford,Cleveland Browns,5,1,4,0.0
Darrick Forrest,Washington Commanders,5,3,2,0.0
Kylen Granson,Indianapolis Colts,5,0,4,0.0
Mike Hall Jr.,Cleveland Browns,5,3,1,0.0
Marquis Haynes,Carolina Panthers,5,1,3,0.0
Ty'Ron Hopper,Green Bay Packers,5,2,2,0.0
James Houston,Detroit Lions,5,2,2,0.0
Theo Jackson,Minnesota Vikings,5,1,4,0.0
Javontae Jean-Baptiste,Washington Commanders,5,2,3,1.0
Buddy Johnson,Dallas Cowboys,5,3,2,0.0
Caleb Johnson,Jacksonville Jaguars,5,1,3,0.0
Eric Johnson,New England Patriots,5,4,1,0.0
Sam Kamara,Cleveland Browns,5,2,1,0.0
Kevin King,Atlanta Falcons,5,3,2,0.0
Eku Leota,Carolina Panthers,5,0,3,1.0
Scott Matlock,Los Angeles Chargers,5,3,2,1.0
Arthur Maulet,Baltimore Ravens,5,1,4,0.0
Braiden McGregor,New York Jets,5,2,3,0.0
Jeremiah Moon,Pittsburgh Steelers,5,2,3,0.0
Mike Morris,Seattle Seahawks,5,2,3,0.0
Yannick Ngakoue,Baltimore Ravens,5,4,1,1.5
David Ojabo,Baltimore Ravens,5,2,2,1.0
Ruke Orhorhoro,Atlanta Falcons,5,3,0,0.0
Rico Payton,New Orleans Saints,5,2,3,0.0
Josh Ross,Seattle Seahawks,5,2,3,0.0
Laviska Shenault Jr.,Seattle Seahawks,5,0,5,0.0
Will Shipley,Philadelphia Eagles,5,0,3,0.0
JL Skinner,Denver Broncos,5,1,4,0.0
Maason Smith,Jacksonville Jaguars,5,1,3,1.0
Javon Solomon,Buffalo Bills,5,0,5,2.0
Xavier Thomas,Arizona Cardinals,5,2,1,1.5
Jeremiah Trotter Jr.,Philadelphia Eagles,5,3,2,0.0
Mekhi Wingo,Detroit Lions,5,4,1,0.0
Ameer Abdullah,Las Vegas Raiders,4,2,2,0.0
Jamal Adams,Tennessee Titans,4,2,2,0.0
Matthew Adams,New York Giants,4,1,3,0.0
Nate Adkins,Denver Broncos,4,3,0,0.0
Joe Andreessen,Buffalo Bills,4,2,2,0.0
Chidobe Awuzie,Tennessee Titans,4,1,2,0.0
Corey Ballentine,Green Bay Packers,4,0,3,0.0
Jacob Bobenmoyer,Las Vegas Raiders,4,1,2,0.0
Jalen Brooks,Dallas Cowboys,4,1,3,0.0
Amari Burney,Las Vegas Raiders,4,2,2,0.0
Joe Cardona,New England Patriots,4,1,3,0.0
DeeJay Dallas,Arizona Cardinals,4,2,2,0.0
Marcellas Dial Jr.,New England Patriots,4,2,2,0.0
Ashton Dulin,Indianapolis Colts,4,0,4,0.0
Hassan Haskins,Los Angeles Chargers,4,3,1,0.0
Tre Hawkins III,New York Giants,4,0,4,0.0
McKinnley Jackson,Cincinnati Bengals,4,2,2,0.0
Lonnie Johnson,Carolina Panthers,4,1,3,0.0
Desjuan Johnson,Los Angeles Rams,4,3,1,0.0
Jermaine Johnson II,New York Jets,4,0,3,0.0
Justin Jones,Arizona Cardinals,4,1,1,0.0
Miles Killebrew,Pittsburgh Steelers,4,2,2,0.0
Casey Kreiter,New York Giants,4,1,2,0.0
DeMarvin Leal,Pittsburgh Steelers,4,2,1,0.0
Deane Leonard,Los Angeles Chargers,4,1,3,0.0
Josh Newton,Cincinnati Bengals,4,1,3,0.0
Efe Obada,Washington Commanders,4,2,1,0.0
Pat O'Connor,Detroit Lions,4,4,0,0.0
Dare Ogunbowale,Houston Texans,4,2,2,0.0
Moro Ojomo,Philadelphia Eagles,4,2,2,0.0
Chig Okonkwo,Tennessee Titans,4,1,3,0.0
Esezi Otomewo,Jacksonville Jaguars,4,4,0,0.5
Del'Shawn Phillips,Houston Texans,4,2,2,0.0
Adam Prentice,New Orleans Saints,4,1,2,0.0
Jordon Riley,New York Giants,4,1,1,0.0
Dominique Robinson,Chicago Bears,4,3,1,0.0
Terell Smith,Chicago Bears,4,0,4,0.0
Chris Smith II,Las Vegas Raiders,4,2,2,0.0
Ben Stille,Arizona Cardinals,4,3,1,1.0
Kentavius Street,Atlanta Falcons,4,3,1,0.0
Daniel Thomas,Jacksonville Jaguars,4,2,1,0.0
DJ Turner,Las Vegas Raiders,4,3,1,0.0
Jay Ward,Minnesota Vikings,4,1,2,0.0
Armon Watts,New York Giants,4,2,2,0.0
Avery Williams,Atlanta Falcons,4,3,1,0.0
Chris Wormley,Baltimore Ravens,4,3,1,0.0
Colson Yankoff,Washington Commanders,4,2,2,0.0
Micah Abernathy,Atlanta Falcons,3,3,0,0.0
Myles Adams,Seattle Seahawks,3,2,1,0.0
Denico Autry,Houston Texans,3,0,2,2.0
Alex Bachman,Las Vegas Raiders,3,0,2,0.0
Levelle Bailey,Denver Broncos,3,3,0,0.0
Daniel Bellinger,New York Giants,3,2,1,0.0
Raheem Blackshear,Carolina Panthers,3,1,2,0.0
Joey Blount,Arizona Cardinals,3,2,1,0.0
Jake Bobo,Seattle Seahawks,3,1,1,0.0
Khristian Boyd,New Orleans Saints,3,1,2,0.0
Kris Boyd,Houston Texans,3,1,1,0.0
Derrick Brown,Carolina Panthers,3,2,0,0.0
Oren Burks,Philadelphia Eagles,3,1,2,0.0
Zach Charbonnet,Seattle Seahawks,3,1,2,0.0
Ja'Marr Chase,Cincinnati Bengals,3,0,2,0.0
Jack Cochrane,Kansas City Chiefs,3,1,2,0.0
Brandon Codrington,Buffalo Bills,3,0,2,0.0
Tanner Conner,Miami Dolphins,3,0,3,0.0
Scott Daly,Chicago Bears,3,2,1,0.0
Isaiah Davis,New York Jets,3,0,2,0.0
Jalen Davis,Cincinnati Bengals,3,1,1,0.0
Kalia Davis,San Francisco 49ers,3,0,3,0.0
Riley Dixon,Denver Broncos,3,1,2,0.0
Tre Flowers,Indianapolis Colts,3,0,2,0.0
Bryce Ford-Wheaton,New York Giants,3,1,2,0.0
Leki Fotu,New York Jets,3,2,1,0.0
Mitchell Fraboni,Denver Broncos,3,1,2,0.0
Amari Gainer,Las Vegas Raiders,3,2,1,0.0
Ali Gaye,Tennessee Titans,3,0,1,0.0
C.J. Ham,Minnesota Vikings,3,2,1,0.0
Demone Harris,Atlanta Falcons,3,2,1,0.0
Bruce Hector,New York Jets,3,2,0,0.0
KJ Henry,Dallas Cowboys,3,2,1,1.0
Kurt Hinish,Houston Texans,3,2,0,0.0
Travis Homer,Chicago Bears,3,0,3,0.0
Dylan Horton,Houston Texans,3,1,2,0.0
Jacob Hummel,Los Angeles Rams,3,0,2,0.0
Adisa Isaac,Baltimore Ravens,3,2,1,0.0
Curtis Jacobs,New England Patriots,3,1,2,0.0
Ty Johnson,Buffalo Bills,3,0,3,0.0
Khalid Kareem,Atlanta Falcons,3,1,2,0.0
Charlie Kolar,Baltimore Ravens,3,1,1,0.0
Darrell Luter Jr.,San Francisco 49ers,3,2,1,0.0
Jaylen Mahoney,San Francisco 49ers,3,2,1,0.0
Kaevon Merriweather,Tampa Bay Buccaneers,3,2,1,0.0
David Moore,Carolina Panthers,3,1,2,0.0
Israel Mukuamu,Dallas Cowboys,3,1,2,0.0
David Njoku,Cleveland Browns,3,0,3,0.0
Derrick Nnadi,Kansas City Chiefs,3,1,1,0.0
Uchenna Nwosu,Seattle Seahawks,3,1,1,0.0
Andrew Ogletree,Indianapolis Colts,3,3,0,0.0
Josh Oliver,Minnesota Vikings,3,0,3,0.0
Jordan Phillips,Dallas Cowboys,3,1,1,0.0
Zacch Pickens,Chicago Bears,3,2,1,0.0
Jalen Redmond,Minnesota Vikings,3,1,2,1.0
Jerrick Reed II,Seattle Seahawks,3,1,2,0.0
Ronnie Rivers,Los Angeles Rams,3,2,1,0.0
Jammie Robinson,Carolina Panthers,3,1,2,0.0
Janarius Robinson,Las Vegas Raiders,3,1,1,0.5
Noah Sewell,Chicago Bears,3,1,1,0.0
Rashid Shaheed,New Orleans Saints,3,0,3,0.0
Kendall Sheffield,New York Jets,3,2,1,0.0
Trent Sherfield,Minnesota Vikings,3,1,2,0.0
Trent Sieg,Dallas Cowboys,3,1,2,0.0
Tremon Smith,Denver Broncos,3,0,3,0.0
Isaiah Stalbird,New Orleans Saints,3,2,1,0.0
Amon-Ra St. Brown,Detroit Lions,3,0,3,0.0
M.J. Stewart,Houston Texans,3,1,1,0.0
Taki Taimani,Minnesota Vikings,3,2,1,0.0
Sione Takitaki,New England Patriots,3,1,1,0.0
Patrick Taylor,San Francisco 49ers,3,0,3,0.0
Isaiah Thomas,Detroit Lions,3,3,0,0.0
Sean Tucker,Tampa Bay Buccaneers,3,1,1,0.0
Isaac Ukwu,Detroit Lions,3,1,2,0.0
Sione Vaki,Detroit Lions,3,0,1,0.0
Ben VanSumeren,Philadelphia Eagles,3,0,2,0.0
Kindle Vildor,Detroit Lions,3,1,2,0.0
Kenneth Walker III,Seattle Seahawks,3,0,3,0.0
Jihad Ward,Minnesota Vikings,3,0,3,1.0
Carlos Watkins,Dallas Cowboys,3,3,0,0.0
Nick Westbrook-Ikhine,Tennessee Titans,3,0,2,0.0
Devin White,Philadelphia Eagles,3,1,2,0.0
Josh Whyle,Tennessee Titans,3,1,1,0.0
Dee Williams,Seattle Seahawks,3,1,2,0.0
Charlie Woerner,Atlanta Falcons,3,1,2,0.0
Davante Adams,Las Vegas Raiders,2,0,2,0.0
Jordan Addison,Minnesota Vikings,2,0,2,0.0
Cal Adomitis,Cincinnati Bengals,2,0,2,0.0
Eli Apple,Los Angeles Chargers,2,0,2,0.0
Brian Asamoah,Minnesota Vikings,2,2,0,0.0
Joe Bachie,Cincinnati Bengals,2,0,1,0.0
Jake Bates,Detroit Lions,2,0,2,0.0
Jarrick Bernard-Converse,New York Jets,2,0,2,0.0
Tatum Bethune,San Francisco 49ers,2,2,0,0.0
Marquise Blair,Seattle Seahawks,2,0,1,0.0
Isaiah Bolden,New England Patriots,2,1,1,0.0
Dicaprio Bootle,Los Angeles Chargers,2,1,1,0.0
Brock Bowers,Las Vegas Raiders,2,0,2,0.0
Natrone Brooks,Atlanta Falcons,2,0,2,0.0
Pharaoh Brown,Seattle Seahawks,2,1,1,0.0
Sydney Brown,Philadelphia Eagles,2,0,2,0.0
Harrison Bryant,Las Vegas Raiders,2,0,2,0.0
Cole Christiansen,Kansas City Chiefs,2,0,2,0.0
Keondre Coburn,Tennessee Titans,2,2,0,0.0
Myles Cole,Jacksonville Jaguars,2,0,2,0.0
James Conner,Arizona Cardinals,2,1,1,0.0
Blake Corum,Los Angeles Rams,2,1,1,0.0
Morgan Cox,Tennessee Titans,2,0,2,0.0
Sam Darnold,Minnesota Vikings,2,1,1,0.0
Marcus Davenport,Detroit Lions,2,1,1,0.5
Gabe Davis,Jacksonville Jaguars,2,0,2,0.0
Josiah Deguara,Jacksonville Jaguars,2,1,1,0.0
Andrew DePaola,Minnesota Vikings,2,2,0,0.0
Zach Ertz,Washington Commanders,2,0,2,0.0
Akayleb Evans,Minnesota Vikings,2,1,1,0.0
Luke Farrell,Jacksonville Jaguars,2,0,2,0.0
Simi Fehoko,Los Angeles Chargers,2,1,1,0.0
Tony Fields II,Los Angeles Rams,2,1,1,0.0
Ryan Flournoy,Dallas Cowboys,2,0,2,0.0
Jaylan Ford,New Orleans Saints,2,2,0,0.0
Joe Gaziano,Jacksonville Jaguars,2,1,0,0.0
Joe Giles-Harris,New England Patriots,2,1,1,0.0
Chris Godwin,Tampa Bay Buccaneers,2,0,2,0.0
Tyler Goodson,Indianapolis Colts,2,1,1,0.0
Mike Greene,Tampa Bay Buccaneers,2,2,0,0.0
Isaac Guerendo,San Francisco 49ers,2,2,0,0.0
Lawrence Guy,Cincinnati Bengals,2,2,0,0.0
Nick Hampton,Los Angeles Rams,2,0,1,0.0
Jonathan Harris,Carolina Panthers,2,2,0,0.0
Hogan Hatten,Detroit Lions,2,2,0,0.0
Khalil Herbert,Chicago Bears,2,1,1,0.0
Faion Hicks,Seattle Seahawks,2,1,1,0.0
Jamal Hill,Houston Texans,2,1,0,0.0
Julian Hill,Miami Dolphins,2,2,0,0.0
Mack Hollins,Buffalo Bills,2,1,1,0.0
Ka'dar Hollman,Baltimore Ravens,2,1,1,0.0
Tanner Hudson,Cincinnati Bengals,2,0,2,0.0
Alec Ingold,Miami Dolphins,2,1,0,0.0
Cedric Johnson,Cincinnati Bengals,2,0,2,0.0
Cam Jones,Kansas City Chiefs,2,1,1,0.0
Ko Kieft,Tampa Bay Buccaneers,2,0,2,0.0
Christian Kirk,Jacksonville Jaguars,2,0,2,0.0
George Kittle,San Francisco 49ers,2,0,2,0.0
CeeDee Lamb,Dallas Cowboys,2,0,2,0.0
Xavier Legette,Carolina Panthers,2,0,2,0.0
Zion Logue,Atlanta Falcons,2,0,2,0.0
Dean Lowry,Pittsburgh Steelers,2,2,0,0.0
Tyler Matakevich,Pittsburgh Steelers,2,0,2,0.0
Ochaun Mathis,New England Patriots,2,1,1,0.0
Bo Melton,Green Bay Packers,2,1,1,0.0
Kolton Miller,Las Vegas Raiders,2,0,2,0.0
Ryan Miller,Tampa Bay Buccaneers,2,0,2,0.0
Jordan Mims,New Orleans Saints,2,2,0,0.0
Jarius Monroe,New York Jets,2,2,0,0.0
Elijah Moore,Cleveland Browns,2,0,2,0.0
Tarvarius Moore,Chicago Bears,2,0,1,0.0
Quintin Morris,Buffalo Bills,2,1,1,0.0
Nicholas Morrow,Buffalo Bills,2,2,0,0.0
Arron Mosby,Green Bay Packers,2,1,1,0.5
Chris Olave,New Orleans Saints,2,0,2,0.0
Cade Otton,Tampa Bay Buccaneers,2,0,2,0.0
Jonathan Owens,Chicago Bears,2,1,1,0.0
Kyle Peko,Detroit Lions,2,1,0,0.0
Samaje Perine,Kansas City Chiefs,2,1,1,0.0
Alec Pierce,Indianapolis Colts,2,0,2,0.0
Brandon Pili,Miami Dolphins,2,1,1,0.0
Michael Pittman,Indianapolis Colts,2,0,2,0.0
Deantre Prince,Jacksonville Jaguars,2,1,1,0.0
Rashee Rice,Kansas City Chiefs,2,0,2,0.0
Decamerion Richardson,Las Vegas Raiders,2,1,1,0.0
Bo Richter,Minnesota Vikings,2,0,2,0.0
Bijan Robinson,Atlanta Falcons,2,0,2,0.0
Curtis Samuel,Buffalo Bills,2,0,2,0.0
Stone Smartt,Los Angeles Chargers,2,0,2,0.0
Chris Smith,Detroit Lions,2,2,0,0.0
T.J. Smith,Carolina Panthers,2,2,0,0.0
Xavier Smith,Los Angeles Rams,2,0,2,0.0
Jaxon Smith-Njigba,Seattle Seahawks,2,0,2,0.0
Qwan'tez Stiggers,New York Jets,2,0,2,0.0
Jack Stoll,Philadelphia Eagles,2,0,2,0.0
Cade Stover,Houston Texans,2,0,2,0.0
Greg Stroman,New York Giants,2,0,1,0.0
Pierre Strong,Cleveland Browns,2,0,1,0.0
Joe Thuney,Kansas City Chiefs,2,0,2,0.0
Cory Trice Jr.,Pittsburgh Steelers,2,0,1,0.0
Tre Tucker,Las Vegas Raiders,2,1,1,0.0
Josh Tupou,Baltimore Ravens,2,0,2,0.0
Kendal Vickers,New Orleans Saints,2,1,1,0.0
Josh Wallace,Los Angeles Rams,2,0,2,0.0
Jonathan Ward,Pittsburgh Steelers,2,1,1,0.0
Christian Watson,Green Bay Packers,2,0,2,0.0
Mike Williams,New York Jets,2,0,2,0.0
Jacoby Windmon,Carolina Panthers,2,1,1,0.0
Zach Wood,New Orleans Saints,2,1,0,0.0
Dareke Young,Seattle Seahawks,2,0,2,0.0
Cam Akers,Minnesota Vikings,1,1,0,0.0
Jordan Akins,Cleveland Browns,1,0,1,0.0
Davis Allen,Los Angeles Rams,1,0,1,0.0
Josh Allen,Buffalo Bills,1,0,1,0.0
